x,y
0.000153624,1.18006404131957E-05
0.000154512,1.17942152959238E-05
0.0001554,1.178774668042E-05
0.000156288,1.17812077873419E-05
0.000157176,1.17746175251003E-05
0.000158064,1.17680119384701E-05
0.000158952,1.17614047724384E-05
0.00015984,1.17547345623042E-05
0.000160728,1.17478263702213E-05
0.000161616,1.17404212034791E-05
0.000162504,1.17322644831636E-05
0.000163392,1.17231539590547E-05
0.00016428,1.17128907738898E-05
0.000165168,1.17012087067312E-05
0.000166056,1.168792760511E-05
0.000166944,1.16736347817264E-05
0.000167832,1.1659830726742E-05
0.00016872,1.16474143309214E-05
0.000169608,1.16362489937686E-05
0.000170496,1.16259332761206E-05
0.000171384,1.16161664206004E-05
0.000172272,1.16067801096628E-05
0.00017316,1.15977057627367E-05
0.000174048,1.15889409781349E-05
0.000174936,1.15805191250539E-05
0.000175824,1.15724804662475E-05
0.000176712,1.15648455546911E-05
0.0001776,1.15575946367531E-05
0.000178488,1.15506586319569E-05
0.000179376,1.1543925541863E-05
0.000180264,1.15372611150084E-05
0.000181152,1.15305372514815E-05
0.00018204,1.15236572627753E-05
0.000182928,1.15165657883839E-05
0.000183816,1.1509236598148E-05
0.000184704,1.15016391745595E-05
0.000185592,1.14936824551365E-05
0.00018648,1.14851013804203E-05
0.000187368,1.14750834132695E-05
0.000188256,1.14604048083087E-05
0.000189144,1.14357191565652E-05
0.000190032,1.14183108148374E-05
0.00019092,1.14063142034381E-05
0.000191808,1.13954157433412E-05
0.000192696,1.13846036812691E-05
0.000193584,1.13736089140799E-05
0.000194472,1.13624093401269E-05
0.00019536,1.13511021445487E-05
0.000196248,1.13398289778116E-05
0.000197136,1.13287130073542E-05
0.000198024,1.13178237192853E-05
0.000198912,1.13071713311969E-05
0.0001998,1.12967118560992E-05
0.000200688,1.12863452804494E-05
0.000201576,1.12759000678006E-05
0.000202464,1.12651056929668E-05
0.000203352,1.12535769667326E-05
0.00020424,1.12409342502189E-05
0.000205128,1.12273259027777E-05
0.000206016,1.12138788205431E-05
0.000206904,1.12016852107204E-05
0.000207792,1.11908979497707E-05
0.00020868,1.1181214778574E-05
0.000209568,1.11723108310866E-05
0.000210456,1.11638968528622E-05
0.000211344,1.11557028674263E-05
0.000212232,1.11474990563482E-05
0.00021312,1.11391217889545E-05
0.000214008,1.11304503653375E-05
0.000214896,1.11213113110429E-05
0.000215784,1.11112419382214E-05
0.000216672,1.10986684343131E-05
0.00021756,1.10780699509017E-05
0.000218448,1.10527672646808E-05
0.000219336,1.10372783565869E-05
0.000220224,1.10256250630063E-05
0.000221112,1.10149401102068E-05
0.000222,1.1004430631044E-05
0.000222888,1.09938564742811E-05
0.000223776,1.09831747805482E-05
0.000224664,1.09724254738023E-05
0.000225552,1.09616730752929E-05
0.00022644,1.09509683652863E-05
0.000227328,1.09403273366984E-05
0.000228216,1.09297279819985E-05
0.000229104,1.09191194425408E-05
